tone;type;word;cat
negative;skin;*geel*;1
negative;skin;*gele*;1
negative;skin;gelige*;1
negative;skin;poep*;1
negative;skin;*schimmel*;1
neutral;skin;geel;2
neutral;skin;gele;2
neutral;skin;gelige;2
negative;nationality;%chinees*;3
negative;nationality;%chinezen;3
negative;nationality;%aziaten;3
negative;nationality;%aziaten;3
negative;nationality;%aziatisch*;3
neutral;nationality;chinees*;4
neutral;nationality;chinezen;4
neutral;nationality;aziaten;4
neutral;nationality;aziatisch*;4
negative;stereotype;*spleetoog*;5
negative;stereotype;*spleetogen;5
negative;stereotype;*viespeuk*;5
negative;stereotype;*vreter*;5
negative;stereotype;*aliexpress*;5
negative;stereotype;*communist*;5
negative;stereotype;viezerikken;5
negative;stereotype;*socialist*;5
negative;stereotype;*eetgedrag*;5
negative;stereotype;*toerist*;5
negative;stereotype;belchinees;5
negative;stereotype;sambalbij;5
negative;stereotype;token-chinezen;5
negative;stereotype;*chinks;5
negative;stereotype;trol;5
negative;stereotype;*eetgetwoontes*;5
neutral;migration;migrant*;6
neutral;migration;illegale*;6
neutral;migration;illegaal;6
negative;migration;%migrant*;7
negative;migration;%illegale*;7
negative;migration;%illegaal;7
negative;migration;*vreemd*;7
neutral;country;china;8
neutral;country;land*;8
negative;country;%china;9
negative;country;%land*;9
negative;animal;*hond*;10
negative;animal;*zwijn*;10
negative;animal;*sprinkhanen*;10
negative;animal;*varken*;10
neutral;animal;hond;11
negative;criminal;*tuig*;12
negative;criminal;*barbaren;12
negative;criminal;*duivel*;12
negative;disease;coronavirus;13
negative;disease;kanker;13
negative;disease;corona;13
negative;disease;virus;13
negative;disease;virussen;13
negative;disease;kk*;13
negative;adjective;vuil*;14
negative;adjective;smerig*;14
negative;adjective;vies;14
negative;adjective;vieze;14
negative;adjective;gore;14